expense_id,description,amount,date,paid_to
63,"Fx mult phalan, hand-opn",4790,2/9/2025,(╯°□°）╯︵ ┻━┻)  
64,Tick-borne enceph NEC,1233,2/26/2025,田中さんにあげて下さい
65,Acute lung edema NOS,2966,3/15/2025,null
66,Mononeuritis NOS,3797,1/31/2025,nil
67,Phlycten keratoconjunct,9601,2/27/2025,-1E2
68,Vrnt mgrn w ntrc mgr NEC,3863,2/22/2025,-1.00
69,Traum hemothorax-closed,2366,1/24/2025,😍
70,Central corneal ulcer,8226,3/23/2025,⁰⁴⁵
71,Ot VD chlm trch unspf gu,1514,2/3/2025,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
72,Impairm auditory discrim,5973,1/30/2025,"""''''""'"""
73,Adv eff sympatholytics,8344,1/9/2025,`⁄€‹›ﬁﬂ‡°·‚—±
74,Elbow enthesopathy NOS,1222,1/24/2025,<script>alert('hi')</script>
75,Ac miliary tb-exam unkn,2761,2/12/2025,`⁄€‹›ﬁﬂ‡°·‚—±
76,Nerve/musculskel sym NEC,5050,1/19/2025,1E02
77,Cracked nipple-postpart,5432,3/13/2025,-1E2
78,Adjustment dis w anxiety,9307,1/17/2025,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو."
79,Fx alveolar bord mand-cl,5490,1/15/2025,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; }
80,"Urin-genital fistul, fem",2468,1/2/2025,",./;'[]\-="
81,Surgical convalescence,6538,3/20/2025,-1
82,"Cellulitis, site NEC",6263,1/29/2025,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧
83,Palindrom rheum-jt NEC,1214,3/15/2025,｀ｨ(´∀｀∩
84,Throat pain,3635,2/1/2025,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰
85,Derangement meniscus NEC,4473,1/4/2025,
86,Corneal grft malfunction,7143,3/26/2025,␡
87,Idio prog polyneuropathy,7724,3/13/2025,NIL
88,Second malig neo kidney,1059,3/13/2025,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ
89,Acq color deficiency,6911,3/2/2025,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
90,Cl skul vlt fx-deep coma,1672,3/28/2025,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو."
91,Breech extr NOS-unspec,5474,2/23/2025,<script>alert('hi')</script>
92,Aneurysm of neck,4753,3/14/2025,-$1.00
93,Mumps hepatitis,8636,3/25/2025,
94,Peroxisomal disorders,7479,2/7/2025,`⁄€‹›ﬁﬂ‡°·‚—±
95,Mal neo bladder neck,4156,2/21/2025,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
96,Idiopth lym interst pneu,6536,2/9/2025,😍
97,Open wnd trunk NEC-compl,1422,1/12/2025,test⁠test‫
98,Iatrogen hypothyroid NEC,2407,2/28/2025,田中さんにあげて下さい
99,Pl cocidioidomycosis NOS,5573,2/3/2025,''
100,Pois-anticonvul NEC/NOS,8411,3/22/2025,`⁄€‹›ﬁﬂ‡°·‚—±
